system:index,AOT,B1,B12,B2,B3,B4,B5,B6,B7,B8,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
37,120.0,317.0,17.0,209.0,145.0,112.0,86.0,36.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,15.0,12.0,1624.0,20191220T101431_20191220T101426_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
38,234.0,6449.0,3865.0,5204.0,5312.0,6128.0,6754.0,6671.0,6106.0,5252.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,3351.0,20190626T102031_20190626T102028_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
39,126.0,881.0,492.0,507.0,501.0,440.0,529.0,517.0,541.0,440.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,51.0,45.0,958.0,20191130T101401_20191130T101406_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
40,228.0,6112.0,3609.0,5368.0,5572.0,6392.0,6560.0,6020.0,5663.0,5372.0,100.0,0.0,0.0,0.0,1024.0,9.0,255.0,255.0,255.0,3348.0,20190626T102031_20190626T102028_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
41,249.0,135.0,116.0,179.0,281.0,211.0,248.0,154.0,174.0,176.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,29.0,22.0,1705.0,20190424T101031_20190424T101032_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
42,232.0,161.0,119.0,201.0,299.0,218.0,268.0,180.0,207.0,218.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,31.0,23.0,1704.0,20190424T101031_20190424T101032_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
43,126.0,842.0,376.0,493.0,480.0,413.0,405.0,399.0,422.0,400.0,0.0,0.0,0.0,0.0,0.0,6.0,51.0,49.0,42.0,945.0,20191130T101401_20191130T101406_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
44,126.0,170.0,35.0,145.0,249.0,175.0,185.0,41.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,26.0,18.0,1591.0,20190613T101031_20190613T101027_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
45,96.0,272.0,46.0,227.0,311.0,207.0,232.0,111.0,127.0,106.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,32.0,22.0,1530.0,20190623T101031_20190623T101029_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
46,96.0,276.0,48.0,234.0,320.0,209.0,240.0,117.0,134.0,107.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,33.0,22.0,1521.0,20190623T101031_20190623T101029_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
47,144.0,1000.0,581.0,1490.0,1186.0,1040.0,990.0,861.0,773.0,1453.0,0.0,0.0,0.0,0.0,0.0,6.0,152.0,123.0,109.0,921.0,20191213T102421_20191213T102424_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
48,306.0,245.0,80.0,293.0,451.0,234.0,646.0,258.0,283.0,183.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,46.0,24.0,3175.0,20190827T101029_20190827T101554_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
49,138.0,965.0,606.0,1526.0,1278.0,1048.0,1075.0,936.0,823.0,1487.0,11.0,0.0,0.0,0.0,0.0,6.0,156.0,130.0,107.0,928.0,20191213T102421_20191213T102424_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
50,312.0,235.0,79.0,262.0,435.0,232.0,646.0,258.0,280.0,175.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,45.0,24.0,3171.0,20190827T101029_20190827T101554_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
51,126.0,171.0,31.0,154.0,250.0,169.0,185.0,44.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,26.0,18.0,1591.0,20190613T101031_20190613T101027_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
